SYMBOL,NAME OF COMPANY
GANECOS,Ganesha Ecosphere Ltd
GANESHBE,Ganesh Benzoplast Ltd
GANESHCP,Ganesh Consumer Products Ltd
GANESHHOU,Ganesh Housing Ltd
GANGAFORGE,Ganga Forging Ltd
GANGESSECU,Ganges Securities Ltd
GARFIBRES,Garware Technical Fibres Ltd
GARUDA,Garuda Construction And Engineering Ltd
GATECH,Gacm Technologies Ltd
GATECHDVR,Gacm Technologies Ltd
GATEWAY,Gateway Distriparks Ltd
GAYAHWS,Gayatri Highways Ltd
GCSL,Gretex Corporate Services Ltd
GEECEE,Geecee Ventures Ltd
GEEKAYWIRE,Geekay Wires Ltd
GEMAROMA,Gem Aromatics Ltd
GENCON,Generic Engineering Construction And Projects Ltd
GENESYS,Genesys International Corporation Ltd
GENUSPAPER,Genus Paper & Boards Ltd
GENUSPOWER,Genus Power Infrastructures Ltd
GEOJITFSL,Geojit Financial Services Ltd
GESHIP,The Great Eastern Shipping Company Ltd
GFLLtd,Gfl Ltd
GHCL,Ghcl Ltd
GHCLTEXTIL,Ghcl Textiles Ltd
GICHSGFIN,Gic Housing Finance Ltd
GICRE,General Insurance Corporation Of India
GILLANDERS,Gillanders Arbuthnot & Company Ltd
GILLETTE,Gillette India Ltd
GINNIFILA,Ginni Filaments Ltd
GIPCL,Gujarat Industries Power Company Ltd
GKENERGY,Gk Energy Ltd
GKSL,Gujarat Kidney And Super Speciality Ltd
GKWLtd,Gkw Ltd
GLAND,Gland Pharma Ltd
GLAXO,Glaxosmithkline Pharmaceuticals Ltd
GLENMARK,Glenmark Pharmaceuticals Ltd
GLFL,Gujarat Lease Financing Ltd
GLOBAL,Global Education Ltd
GLOBALE,Globale Tessile Ltd
GLOBALVECT,Global Vectra Helicorp Ltd
GLOBE,Globe Enterprises (India) Ltd
GLOBECIVIL,Globe Civil Projects Ltd
GLOBUSSPR,Globus Spirits Ltd
GLOSTERLTD,Gloster Ltd
GLOTTIS,Glottis Ltd
GMBREW,Gm Breweries Ltd
GMDCLTD,Gujarat Mineral Development Corporation Ltd
GMMPFAUDLR,Gmm Pfaudler Ltd
GMRAIRPORT,Gmr Airports Ltd
GMRP&UI,Gmr Power And Urban Infra Ltd
GNA,Gna Axles Ltd
GNFC,Gujarat Narmada Valley Fertilizers And Chemicals Ltd
GOACARBON,Goa Carbon Ltd
GOCLCORP,Gocl Corporation Ltd
GOCOLORS,Go Fashion (India) Ltd
GODAVARIB,Godavari Biorefineries Ltd
GODFRYPHLP,Godfrey Phillips India Ltd
GODIGIT,Go Digit General Insurance Ltd
GODREJAGRO,Godrej Agrovet Ltd
GODREJCP,Godrej Consumer Products Ltd
GODREJIND,Godrej Industries Ltd
GODREJPROP,Godrej Properties Ltd
GOKEX,Gokaldas Exports Ltd
GOKUL,Gokul Refoils And Solvent Ltd
GOKULAGRO,Gokul Agro Resources Ltd
GOLDENTOBC,Golden Tobacco Ltd
GOLDIAM,Goldiam International Ltd
GOLDTECH,Aion-Tech Solutions Ltd
GOODLUCK,Goodluck India Ltd
GOPAL,Gopal Snacks Ltd
GOYALALUM,Goyal Aluminiums Ltd
GPIL,Godawari Power And Ispat Ltd
GPPL,Gujarat Pipavav Port Ltd
GPTHEALTH,Gpt Healthcare Ltd
GPTINFRA,Gpt Infraprojects Ltd
GRANULES,Granules India Ltd
GRAPHITE,Graphite India Ltd
GRASIM,Grasim Industries Ltd
GRAVITA,Gravita India Ltd
GREAVESCOT,Greaves Cotton Ltd
GREENLAM,Greenlam Industries Ltd
GREENPANEL,Greenpanel Industries Ltd
GREENPLY,Greenply Industries Ltd
GREENPOWER,Orient Green Power Company Ltd
GRINDWELL,Grindwell Norton Ltd
GRINFRA,G R Infraprojects Ltd
GRMOVER,Grm Overseas Ltd
GROBTEA,The Grob Tea Company Ltd
GROWW,Billionbrains Garage Ventures Ltd
GRPLTD,Grp Ltd
GRSE,Garden Reach Shipbuilders & Engineers Ltd
GRWRHITECH,Garware Hi-Tech Films Ltd
GSFC,Gujarat State Fertilizers & Chemicals Ltd
GSLSU,Global Surfaces Ltd
GSPL,Gujarat State Petronet Ltd
GSS,Gss Infotech Ltd
GTECJAINX,G-Tec Jainx Education Ltd
GTL,Gtl Ltd
GTLINFRA,Gtl Infrastructure Ltd
GTPL,Gtpl Hathway Ltd
GUFICBIO,Gufic Biosciences Ltd
GUJALKALI,Gujarat Alkalies And Chemicals Ltd
GUJAPOLLO,Gujarat Apollo Industries Ltd
GUJGASLTD,Gujarat Gas Ltd
GUJRAFFIA,Gujarat Raffia Industries Ltd
GUJTHEM,Gujarat Themis Biosyn Ltd
GULFOILLUB,Gulf Oil Lubricants India Ltd
GULFPETRO,Gp Petroleums Ltd
GULPOLY,Gulshan Polyols Ltd
GVKPIL,Gvk Power & Infrastructure Ltd
GVPIL,Ge Power India Ltd
GVPTECH,Gvp Infotech Ltd
GVT&D,Ge Vernova T&D India Ltd
HAL,Hindustan Aeronautics Ltd
HALDER,Halder Venture Ltd
HALEOSLABS,Haleos Labs Ltd
HAPPSTMNDS,Happiest Minds Technologies Ltd
HAPPYFORGE,Happy Forgings Ltd
HARDWYN,Hardwyn India Ltd
HARIOMPIPE,Hariom Pipe Industries Ltd
HARRMALAYA,Harrisons  Malayalam Ltd
HARSHA,Harsha Engineers International Ltd
HATHWAY,Hathway Cable & Datacom Ltd
HATSUN,Hatsun Agro Product Ltd
HAVELLS,Havells India Ltd
HAVISHA,Sri Havisha Hospitality And Infrastructure Ltd
HBLENGINE,Hbl Engineering Ltd
HBSL,Hb Stockholdings Ltd
HCC,Hindustan Construction Company Ltd
HCG,Healthcare Global Enterprises Ltd
HCL-INSYS,Hcl Infosystems Ltd
HCLTECH,Hcl Technologies Ltd
HDBFS,Hdb Financial Services Ltd
HDFCAMC,Hdfc Asset Management Company Ltd
HDFCBANK,Hdfc Bank Ltd
HDFCLIFE,Hdfc Life Insurance Company Ltd
HDIL,Housing Development And Infrastructure Ltd
HEADSUP,Heads Up Ventures Ltd
HECPROJECT,Hec Infra Projects Ltd
HEG,Heg Ltd
HEIDELBERG,Heidelbergcement India Ltd
HEMIPROP,Hemisphere Properties India Ltd
HERANBA,Heranba Industries Ltd
HERITGFOOD,Heritage Foods Ltd
HEROMOTOCO,Hero Motocorp Ltd
HESTERBIO,Hester Biosciences Ltd
HEXATRADEX,Hexa Tradex Ltd
HEXT,Hexaware Technologies Ltd
HFCL,Hfcl Ltd
HGINFRA,H.G. Infra Engineering Ltd
HGM,Handson Global Management (Hgm) Ltd
HGS,Hinduja Global Solutions Ltd
HIKAL,Hikal Ltd
HILINFRA,Highway Infrastructure Ltd
HILTON,Hilton Metal Forging Ltd
HIMATSEIDE,Himatsingka Seide Ltd
HINDALCO,Hindalco Industries Ltd
HINDCOMPOS,Hindustan Composites Ltd
HINDCON,Hindcon Chemicals Ltd
HINDCOPPER,Hindustan Copper Ltd
HINDOILEXP,Hindustan Oil Exploration Company Ltd
HINDPETRO,Hindustan Petroleum Corporation Ltd
HINDUNILVR,Hindustan Unilever Ltd
HINDWAREAP,Hindware Home Innovation Ltd
HINDZINC,Hindustan Zinc Ltd
HIRECT,Hind Rectifiers Ltd
HISARMETAL,Hisar Metal Industries Ltd
HITECH,Hi-Tech Pipes Ltd
HITECHCORP,Hitech Corporation Ltd
HITECHGEAR,The Hi-Tech Gears Ltd
HLEGLAS,Hle Glascoat Ltd
HLVLTD,Hlv Ltd
HMAAGRO,Hma Agro Industries Ltd
HMT,Hmt Ltd
HMVL,Hindustan Media Ventures Ltd
HNDFDS,Hindustan Foods Ltd
HOMEFIRST,Home First Finance Company India Ltd
HONASA,Honasa Consumer Ltd
HONAUT,Honeywell Automation India Ltd
HONDAPOWER,Honda India Power Products Ltd
HPAL,Hp Adhesives Ltd
HPIL,Hindprakash Industries Ltd
HPL,Hpl Electric & Power Ltd
HSCL,Himadri Speciality Chemical Ltd
HTMEDIA,Ht Media Ltd
HUBTOWN,Hubtown Ltd
HUDCO,Housing & Urban Development Corporation Ltd
HUHTAMAKI,Huhtamaki India Ltd
HYBRIDFIN,Hybrid Financial Services Ltd
HYUNDAI,Hyundai Motor India Ltd
IBULLSLTD,Indiabulls Ltd
ICDSLTD,Icds Ltd
ICEMAKE,Ice Make Refrigeration Ltd
ICICIAMC,Icici Prudential Asset Management Company Ltd
ICICIBANK,Icici Bank Ltd
ICICIGI,Icici Lombard General Insurance Company Ltd
ICICIPRULI,Icici Prudential Life Insurance Company Ltd
ICIL,Indo Count Industries Ltd
ICRA,Icra Ltd
IDBI,Idbi Bank Ltd
IDEA,Vodafone Idea Ltd
IDEAFORGE,Ideaforge Technology Ltd
IDFCFIRSTB,Idfc First Bank Ltd
IEX,Indian Energy Exchange Ltd
IFBAGRO,Ifb Agro Industries Ltd
IFBIND,Ifb Industries Ltd
IFCI,Ifci Ltd
IFGLEXPOR,Ifgl Refractories Ltd
IGARASHI,Igarashi Motors India Ltd
IGCL,Indogulf Cropsciences Ltd
IGIL,International Gemmological Institute (India) Ltd
IGL,Indraprastha Gas Ltd
IGPL,Ig Petrochemicals Ltd
IIFL,Iifl Finance Ltd
IIFLCAPS,Iifl Capital Services Ltd
IITL,Industrial Investment Trust Ltd
IKIO,Ikio Technologies Ltd
IKS,Inventurus Knowledge Solutions Ltd
IL&FSENGG,Il&Fs Engineering And Construction Company Ltd
IL&FSTRANS,Il&Fs Transportation Networks Ltd
IMAGICAA,Imagicaaworld Entertainment Ltd
IMFA,Indian Metals & Ferro Alloys Ltd
IMPAL,India Motor Parts And Accessories Ltd
IMPEXFERRO,Impex Ferro Tech Ltd
INCREDIBLE,Incredible Industries Ltd
INDBANK,Indbank Merchant Banking Services Ltd
INDGN,Indegene Ltd
INDHOTEL,The Indian Hotels Company Ltd
INDIACEM,The India Cements Ltd
INDIAGLYCO,India Glycols Ltd
INDIAMART,Indiamart Intermesh Ltd
INDIANB,Indian Bank
INDIANCARD,Indian Card Clothing Company Ltd
INDIANHUME,Indian Hume Pipe Company Ltd
INDIASHLTR,India Shelter Finance Corporation Ltd
INDIGO,Interglobe Aviation Ltd
INDIGOPNTS,Indigo Paints Ltd
INDIQUBE,Indiqube Spaces Ltd
INDNIPPON,India Nippon Electricals Ltd
INDOAMIN,Indo Amines Ltd
INDOBORAX,Indo Borax & Chemicals Ltd
INDOCO,Indoco Remedies Ltd
INDOFARM,Indo Farm Equipment Ltd
INDORAMA,Indo Rama Synthetics (India) Ltd
INDOSTAR,Indostar Capital Finance Ltd
INDOTECH,Indo Tech Transformers Ltd
INDOTHAI,Indo Thai Securities Ltd
INDOUS,Indo Us Biotech Ltd
INDOWIND,Indowind Energy Ltd
INDRAMEDCO,Indraprastha Medical Corporation Ltd
INDSWFTLAB,Ind-Swift Laboratories Ltd
INDTERRAIN,Indian Terrain Fashions Ltd
INDUSINDBK,Indusind Bank Ltd
INDUSTOWER,Indus Towers Ltd
INFOBEAN,Infobeans Technologies Ltd
INFOMEDIA,Infomedia Press Ltd
INFY,Infosys Ltd
INGERRAND,Ingersoll Rand (India) Ltd
INNOVACAP,Innova Captab Ltd
INNOVANA,Innovana Thinklabs Ltd
INOXGREEN,Inox Green Energy Services Ltd
INOXINDIA,Inox India Ltd
INOXWIND,Inox Wind Ltd
INSECTICID,Insecticides (India) Ltd
INSPIRISYS,Inspirisys Solutions Ltd
INTELLECT,Intellect Design Arena Ltd
INTENTECH,Intense Technologies Ltd
INTERARCH,Interarch Building Solutions Ltd
INTLCONV,International Conveyors Ltd
INVENTURE,Inventure Growth & Securities Ltd
IOB,Indian Overseas Bank
IOC,Indian Oil Corporation Ltd
IOLCP,Iol Chemicals And Pharmaceuticals Ltd
IONEXCHANG,Ion Exchange (India) Ltd
IPCALAB,Ipca Laboratories Ltd
IPL,India Pesticides Ltd
IRB,Irb Infrastructure Developers Ltd
IRCON,Ircon International Ltd
IRCTC,Indian Railway Catering And Tourism Corporation Ltd
IREDA,Indian Renewable Energy Development Agency Ltd
IRFC,Indian Railway Finance Corporation Ltd
IRIS,Iris Regtech Solutions Ltd
IRISDOREME,Iris Clothings Ltd
IRMENERGY,Irm Energy Ltd
ISFT,Intrasoft Technologies Ltd
ISGEC,Isgec Heavy Engineering Ltd
ISHANCH,Ishan Dyes And Chemicals Ltd
ITC,Itc Ltd
ITCHOTELS,Itc Hotels Ltd
ITDC,India Tourism Development Corporation Ltd
ITI,Iti Ltd
IVALUE,Ivalue Infosolutions Ltd
IVC,Il&Fs Investment Managers Ltd
IVP,Ivp Ltd
IXIGO,Le Travenues Technology Ltd
IZMO,Izmo Ltd
J&KBANK,The Jammu & Kashmir Bank Ltd
JAGRAN,Jagran Prakashan Ltd
JAGSNPHARM,Jagsonpal Pharmaceuticals Ltd
JAIBALAJI,Jai Balaji Industries Ltd
JAICORPLTD,Jai Corp Ltd
JAINREC,Jain Resource Recycling Ltd
JAIPURKURT,Nandani Creation Ltd
JAMNAAUTO,Jamna Auto Industries Ltd
JARO,Jaro Institute Of Technology Management And Research Ltd
JASH,Jash Engineering Ltd
JAYAGROGN,Jayant Agro Organics Ltd
JAYBARMARU,Jay Bharat Maruti Ltd
JAYKAY,Jaykay Enterprises Ltd
JAYNECOIND,Jayaswal Neco Industries Ltd
JAYSREETEA,Jayshree Tea & Industries Ltd
JBCHEPHARM,Jb Chemicals & Pharmaceuticals Ltd
JBMA,Jbm Auto Ltd
JETFREIGHT,Jet Freight Logistics Ltd
JGCHEM,J.G.Chemicals Ltd
JHS,Jhs Svendgaard Laboratories Ltd
JINDALPHOT,Jindal Photo Ltd
JINDALPOLY,Jindal Poly Films Ltd
JINDALSAW,Jindal Saw Ltd
JINDALSTEL,Jindal Steel Ltd
JINDRILL,Jindal Drilling And Industries Ltd
JINDWORLD,Jindal Worldwide Ltd
JIOFIN,Jio Financial Services Ltd
JISLDVREQS,Jain Irrigation Systems Ltd
JISLJALEQS,Jain Irrigation Systems Ltd
JITFINFRA,Jitf Infralogistics Ltd
JKCEMENT,Jk Cement Ltd
JKIL,J.Kumar Infraprojects Ltd
JKIPL,Jinkushal Industries Ltd
JKLAKSHMI,Jk Lakshmi Cement Ltd
JKPAPER,Jk Paper Ltd
JKTYRE,Jk Tyre & Industries Ltd
JLHL,Jupiter Life Line Hospitals Ltd
JMA,Jullundur Motor Agency (Delhi) Ltd
JMFINANCIL,Jm Financial Ltd
JNKINDIA,Jnk India Ltd
JOCIL,Jocil Ltd
JPASSOCIAT,Jaiprakash Associates Ltd
JPOLYINVST,Jindal Poly Investment And Finance Company Ltd
JPPOWER,Jaiprakash Power Ventures Ltd
JSFB,Jana Small Finance Bank Ltd
JSL,Jindal Stainless Ltd
JSLL,Jeena Sikho Lifecare Ltd
JSWCEMENT,Jsw Cement Ltd
JSWENERGY,Jsw Energy Ltd
JSWHL,Jsw Holdings Ltd
JSWINFRA,Jsw Infrastructure Ltd
JSWSTEEL,Jsw Steel Ltd
JTEKTINDIA,Jtekt India Ltd
JTLIND,Jtl Industries Ltd
JUBLCPL,Jubilant Agri And Consumer Products Ltd
JUBLFOOD,Jubilant Foodworks Ltd
JUBLINGREA,Jubilant Ingrevia Ltd
JUBLPHARMA,Jubilant Pharmova Ltd
JUNIPER,Juniper Hotels Ltd
JUSTDIAL,Just Dial Ltd
JWL,Jupiter Wagons Ltd
JYOTHYLAB,Jyothy Labs Ltd
JYOTICNC,Jyoti Cnc Automation Ltd
JYOTISTRUC,Jyoti Structures Ltd
KABRAEXTRU,Kabra Extrusion Technik Ltd
KAJARIACER,Kajaria Ceramics Ltd
KAKATCEM,Kakatiya Cement Sugar & Industries Ltd
KALAMANDIR,Sai Silks (Kalamandir) Ltd
KALPATARU,Kalpataru Ltd
KALYANI,Kalyani Commercials Ltd
KALYANIFRG,Kalyani Forge Ltd
KALYANKJIL,Kalyan Jewellers India Ltd
KAMATHOTEL,Kamat Hotels (I) Ltd
KAMDHENU,Kamdhenu Ltd
KAMOPAINTS,Kamdhenu Ventures Ltd
KANANIIND,Kanani Industries Ltd
KANORICHEM,Kanoria Chemicals & Industries Ltd
KANPRPLA,Kanpur Plastipack Ltd
KANSAINER,Kansai Nerolac Paints Ltd
KAPSTON,Kapston Services Ltd
KARMAENG,Karma Energy Ltd
KARURVYSYA,Karur Vysya Bank Ltd
KAUSHALYA,Kaushalya Infrastructure Development Corporation Ltd
KAVDEFENCE,Kavveri Defence & Wireless Technologies Ltd
KAYA,Kaya Ltd
KAYNES,Kaynes Technology India Ltd
KCP,Kcp Ltd
KCPSUGIND,Kcp Sugar And Industries Corporation Ltd
KDDL,Kddl Ltd
KEC,Kec International Ltd
KECL,Kirloskar Electric Company Ltd
KEEPLEARN,Dsj Keep Learning Ltd
KEI,Kei Industries Ltd
KELLTONTEC,Kellton Tech Solutions Ltd
KERNEX,Kernex Microsystems (India) Ltd
KESORAMIND,Kesoram Industries Ltd
KEYFINSERV,Keynote Financial Services Ltd
KFINTECH,Kfin Technologies Ltd
KHADIM,Khadim India Ltd
KHAICHEM,Khaitan Chemicals & Fertilizers Ltd
KHAITANLTD,Khaitan (India) Ltd
KHANDSE,Khandwala Securities Ltd
KICL,Kalyani Investment Company Ltd
KILITCH,Kilitch Drugs (India) Ltd
KIMS,Krishna Institute Of Medical Sciences Ltd
KINGFA,Kingfa Science & Technology (India) Ltd
KIOCL,Kiocl Ltd
KIRIINDUS,Kiri Industries Ltd
KIRLOSBROS,Kirloskar Brothers Ltd
KIRLOSENG,Kirloskar Oil Engines Ltd
KIRLOSIND,Kirloskar Industries Ltd
KIRLPNU,Kirloskar Pneumatic Company Ltd
KITEX,Kitex Garments Ltd
KKCL,Kewal Kiran Clothing Ltd
KMEW,Knowledge Marine & Engineering Works Ltd
KMSUGAR,K.M.Sugar Mills Ltd
KNAGRI,Kn Agri Resources Ltd
KNRCON,Knr Constructions Ltd
KOHINOOR,Kohinoor Foods Ltd
KOKUYOCMLN,Kokuyo Camlin Ltd
KOLTEPATIL,Kolte - Patil Developers Ltd
KOPRAN,Kopran Ltd
KOTAKBANK,Kotak Mahindra Bank Ltd
KOTARISUG,Kothari Sugars And Chemicals Ltd
KOTHARIPET,Kothari Petrochemicals Ltd
KOTHARIPRO,Kothari Products Ltd
KPEL,K.P. Energy Ltd
KPIGREEN,Kpi Green Energy Ltd
KPIL,Kalpataru Projects International Ltd
KPITTECH,Kpit Technologies Ltd
KPRMILL,K.P.R. Mill Ltd
KRBL,Krbl Ltd
KREBSBIO,Krebs Biochemicals And Industries Ltd
KRIDHANINF,Kridhan Infra Ltd
KRISHANA,Krishana Phoschem Ltd
KRISHIVAL,Krishival Foods Ltd
KRISHNADEF,Krishna Defence And Allied Industries Ltd
KRITI,Kriti Industries (India) Ltd
KRITIKA,Kritika Wires Ltd
KRITINUT,Kriti Nutrients Ltd
KRN,Krn Heat Exchanger And Refrigeration Ltd
KRONOX,Kronox Lab Sciences Ltd
KROSS,Kross Ltd
KRSNAA,Krsnaa Diagnostics Ltd
KRYSTAL,Krystal Integrated Services Ltd
KSB,Ksb Ltd
KSCL,Kaveri Seed Company Ltd
KSHINTL,Ksh International Ltd
KSHITIJPOL,Kshitij Polyline Ltd
KSL,Kalyani Steels Ltd
KSOLVES,Ksolves India Ltd
KSR,Ksr Footwear Ltd
KTKBANK,The Karnataka Bank Ltd
KUANTUM,Kuantum Papers Ltd
LAGNAM,Lagnam Spintex Ltd
LAKPRE,Lakshmi Precision Screws Ltd
LAL,Lorenzini Apparels Ltd
LALPATHLAB,Dr. Lal Path Labs Ltd.
LAMBODHARA,Lambodhara Textiles Ltd
LANCORHOL,Lancor Holdings Ltd
LANDMARK,Landmark Cars Ltd
LAOPALA,La Opala Rg Ltd
LASA,Lasa Supergenerics Ltd
LATENTVIEW,Latent View Analytics Ltd
LATTEYS,Latteys Industries Ltd
LAURUSLABS,Laurus Labs Ltd
LAXMICOT,Laxmi Cotspin Ltd
LAXMIDENTL,Laxmi Dental Ltd
LAXMIINDIA,Laxmi India Finance Ltd
LCCINFOTEC,Lcc Infotech Ltd
LEMERITE,Le Merite Exports Ltd
LEMONTREE,Lemon Tree Hotels Ltd
LENSKART,Lenskart Solutions Ltd
LEXUS,Lexus Granito (India) Ltd
LFIC,Lakshmi Finance & Industrial Corporation Ltd
LGBBROSLTD,Lg Balakrishnan & Bros Ltd
LGEINDIA,Lg Electronics India Ltd
LGHL,Laxmi Goldorna House Ltd
LIBAS,Libas Consumer Products Ltd
LIBERTSHOE,Liberty Shoes Ltd
LICHSGFIN,Lic Housing Finance Ltd
LICI,Life Insurance Corporation Of India
LIKHITHA,Likhitha Infrastructure Ltd
LINC,Linc Ltd
LINCOLN,Lincoln Pharmaceuticals Ltd
LINDEINDIA,Linde India Ltd
LLOYDSENGG,Lloyds Engineering Works Ltd
LLOYDSENT,Lloyds Enterprises Ltd
LLOYDSME,Lloyds Metals And Energy Ltd
LMW,Lmw Ltd
LODHA,Lodha Developers Ltd
LOKESHMACH,Lokesh Machines Ltd
LORDSCHLO,Lords Chloro Alkali Ltd
LOTUSDEV,Sri Lotus Developers And Realty Ltd
LOTUSEYE,Lotus Eye Hospital And Institute Ltd
LOVABLE,Lovable Lingerie Ltd
LOYALTEX,Loyal Textile Mills Ltd
LPDC,Landmark Property Development Company Ltd
LT,Larsen & Toubro Ltd
LTF,L&T Finance Ltd
LTFOODS,Lt Foods Ltd
LTIM,Ltimindtree Ltd
LTTS,L&T Technology Services Ltd
LUMAXIND,Lumax Industries Ltd
LUMAXTECH,Lumax Auto Technologies Ltd
LUPIN,Lupin Ltd
LUXIND,Lux Industries Ltd
LXCHEM,Laxmi Organic Industries Ltd
LYKALABS,Lyka Labs Ltd
LYPSAGEMS,Lypsa Gems & Jewellery Ltd
M&M,Mahindra & Mahindra Ltd
M&MFIN,Mahindra & Mahindra Financial Services Ltd
MAANALU,Maan Aluminium Ltd
MACPOWER,Macpower Cnc Machines Ltd
MADHAV,Madhav Marbles And Granites Ltd
MADHUCON,Madhucon Projects Ltd
MADRASFERT,Madras Fertilizers Ltd
MAGADSUGAR,Magadh Sugar & Energy Ltd
MAGNUM,Magnum Ventures Ltd
MAHABANK,Bank Of Maharashtra
MAHAPEXLTD,Maha Rashtra Apex Corporation Ltd
MAHASTEEL,Mahamaya Steel Industries Ltd
MAHEPC,Mahindra Epc Irrigation Ltd
MAHESHWARI,Maheshwari Logistics Ltd
MAHLIFE,Mahindra Lifespace Developers Ltd
MAHLOG,Mahindra Logistics Ltd
MAHSCOOTER,Maharashtra Scooters Ltd
MAHSEAMLES,Maharashtra Seamless Ltd
MAITHANALL,Maithan Alloys Ltd
MALLCOM,Mallcom (India) Ltd
MALUPAPER,Malu Paper Mills Ltd
MAMATA,Mamata Machinery Ltd
MANAKALUCO,Manaksia Aluminium Company Ltd
MANAKCOAT,Manaksia Coated Metals & Industries Ltd
MANAKSIA,Manaksia Ltd
MANAKSTEEL,Manaksia Steels Ltd
MANALIPETC,Manali Petrochemicals Ltd
MANAPPURAM,Manappuram Finance Ltd
MANBA,Manba Finance Ltd
MANCREDIT,Mangal Credit And Fincorp Ltd
MANGALAM,Mangalam Drugs And Organics Ltd
MANGLMCEM,Mangalam Cement Ltd
MANINDS,Man Industries (India) Ltd
MANINFRA,Man Infraconstruction Ltd
MANKIND,Mankind Pharma Ltd
MANOMAY,Manomay Tex India Ltd
MANORAMA,Manorama Industries Ltd
MANORG,Mangalam Organics Ltd
MANUGRAPH,Manugraph India Ltd
MANYAVAR,Vedant Fashions Ltd
MAPMYINDIA,C.E. Info Systems Ltd
MARALOVER,Maral Overseas Ltd
MARATHON,Marathon Nextgen Realty Ltd
MARICO,Marico Ltd
MARINE,Marine Electricals (India) Ltd
MARKOLINES,Markolines Pavement Technologies Ltd
MARKSANS,Marksans Pharma Ltd
MARUTI,Maruti Suzuki India Ltd
MASFIN,Mas Financial Services Ltd
MASKINVEST,Mask Investments Ltd
MASTEK,Mastek Ltd
MASTERTR,Master Trust Ltd
MATRIMONY,Matrimony.Com Ltd
MAWANASUG,Mawana Sugars Ltd
MAXESTATES,Max Estates Ltd
MAXHEALTH,Max Healthcare Institute Ltd
MAXIND,Max India Ltd
MAYURUNIQ,Mayur Uniquoters Ltd
MAZDA,Mazda Ltd
MAZDOCK,Mazagon Dock Shipbuilders Ltd
MBAPL,Madhya Bharat Agro Products Ltd
MBEL,M & B Engineering Ltd
MBLINFRA,Mbl Infrastructure Ltd
MCL,Madhav Copper Ltd
MCLEODRUSS,Mcleod Russel India Ltd
MCLOUD,Magellanic Cloud Ltd
MCX,Multi Commodity Exchange Of India Ltd
MEDANTA,Global Health Ltd
MEDIASSIST,Medi Assist Healthcare Services Ltd
MEDICAMEQ,Medicamen Biotech Ltd
MEDICO,Medico Remedies Ltd
MEDPLUS,Medplus Health Services Ltd
MEESHO,Meesho Ltd
MEGASOFT,Megasoft Ltd
MEGASTAR,Megastar Foods Ltd
MEIL,Mangal Electrical Industries Ltd
MENONBE,Menon Bearings Ltd
MEP,Mep Infrastructure Developers Ltd
METROBRAND,Metro Brands Ltd
METROPOLIS,Metropolis Healthcare Ltd
MFML,Mahalaxmi Fabric Mills Ltd
MFSL,Max Financial Services Ltd
MGEL,Mangalam Global Enterprise Ltd
MGL,Mahanagar Gas Ltd
MHLXMIRU,Mahalaxmi Rubtech Ltd
MHRIL,Mahindra Holidays & Resorts India Ltd
MICEL,Mic Electronics Ltd
MIDHANI,Mishra Dhatu Nigam Ltd
MIDWESTLTD,Midwest Ltd
MINDACORP,Minda Corporation Ltd
MINDTECK,Mindteck (India) Ltd
MIRCELECTR,Mirc Electronics Ltd
MIRZAINT,Mirza International Ltd
MITCON,Mitcon Consultancy & Engineering Services Ltd
MITTAL,Mittal Life Style Ltd
MKPL,M K Proteins Ltd
MMFL,Mm Forgings Ltd
MMP,Mmp Industries Ltd
MMTC,Mmtc Ltd
MOBIKWIK,One Mobikwik Systems Ltd
MODINATUR,Modi Naturals Ltd
MODIRUBBER,Modi Rubber Ltd
MODIS,Modis Navnirman Ltd
MODISONLTD,Modison Ltd
MODTHREAD,Modern Threads (India) Ltd
MOHITIND,Mohit Industries Ltd
MOIL,Moil Ltd
MOKSH,Moksh Ornaments Ltd
MOL,Meghmani Organics Ltd
MOLDTECH,Mold-Tek Technologies Ltd
MOLDTKPAC,Mold-Tek Packaging Ltd
MONARCH,Monarch Networth Capital Ltd
MONEYBOXX,Moneyboxx Finance Ltd
MONTECARLO,Monte Carlo Fashions Ltd
MORARJEE,Morarjee Textiles Ltd
MOREPENLAB,Morepen Laboratories Ltd
MOSCHIP,Moschip Technologies Ltd
MOTHERSON,Samvardhana Motherson International Ltd
MOTILALOFS,Motilal Oswal Financial Services Ltd
MOTISONS,Motisons Jewellers Ltd
MOTOGENFIN,The Motor & General Finance Ltd
MPHASIS,Mphasis Ltd
MPSLTD,Mps Ltd
MRF,Mrf Ltd
MRPL,Mangalore Refinery And Petrochemicals Ltd
MSPL,Msp Steel & Power Ltd
MSTCLTD,Mstc Ltd
MSUMI,Motherson Sumi Wiring India Ltd
MTARTECH,Mtar Technologies Ltd
MTEDUCARE,Mt Educare Ltd
MTNL,Mahanagar Telephone Nigam Ltd
MUFIN,Mufin Green Finance Ltd
MUFTI,Credo Brands Marketing Ltd
MUKANDLTD,Mukand Ltd
MUKKA,Mukka Proteins Ltd
MUKTAARTS,Mukta Arts Ltd
MUNJALAU,Munjal Auto Industries Ltd
MUNJALSHOW,Munjal Showa Ltd
MURUDCERA,Murudeshwar Ceramics Ltd
MUTHOOTCAP,Muthoot Capital Services Ltd
MUTHOOTFIN,Muthoot Finance Ltd
MUTHOOTMF,Muthoot Microfin Ltd
MVGJL,Manoj Vaibhav Gems N Jewellers Ltd
MWL,Mangalam Worldwide Ltd
